50/50 H2O/SiO2 EOS table for planetary interior model (WITH phase equilibrium), 51 temps, 147 densities
***UvA version, Allona Vazan***  June 2018 ***
units:    1 keV = 1.1605e+7 Kelvin; 1 jrk = 1.e+16 erg
          1 jrk/cc = 1.e+4 Mbar

 lgT(Kev)  lgro          log P(jrk/cc)              u(jrk/g)                 s(jrk/g-keV)
-5.90    -9.40    -2.100376699435384E+01     3.281634288408697E-05     8.781945681234893E-05
-5.90    -9.30    -2.100376699435384E+01     3.281582856835103E-05     7.262659663752516E-05
-5.90    -9.20    -2.100376699435384E+01     3.281542003284039E-05     6.055847883444435E-05
-5.90    -9.10    -2.100376699435384E+01     3.281509552154941E-05     5.097243212347867E-05
-5.90    -9.00    -2.100376699435384E+01     3.281483775306850E-05     4.335796456157278E-05
-5.90    -8.90    -2.100376699435384E+01     3.281463300028608E-05     3.730957798475879E-05
-5.90    -8.80    -2.100376699435384E+01     3.281447035936988E-05     3.250517375226807E-05
-5.90    -8.70    -2.100376699435384E+01     3.281434116909801E-05     2.868889981937179E-05
-5.90    -8.60    -2.100376699435384E+01     3.281423854961741E-05     2.565752568303006E-05
-5.90    -8.50    -2.100376699435384E+01     3.281415703606655E-05     2.324961961652088E-05
-5.90    -8.40    -2.100376699435384E+01     3.281409228755157E-05     2.133695184132876E-05
-5.90    -8.30    -2.100376699435384E+01     3.281404085597798E-05     1.981766582384639E-05
-5.90    -8.20    -2.100376699435384E+01     3.281400000242691E-05     1.861085404353830E-05
-5.90    -8.10    -2.100376699435384E+01     3.281396755129782E-05     1.765224937244173E-05
-5.90    -8.00    -2.100376699435384E+01     3.281394177444972E-05     1.689080261625114E-05
-5.90    -7.90    -2.100376699435384E+01     3.281392129917149E-05     1.628596395856974E-05
-5.90    -7.80    -2.100376699435384E+01     3.281390503507986E-05     1.580552353532066E-05
-5.90    -7.70    -2.100376699435384E+01     3.281389211605267E-05     1.542389614203105E-05
-5.90    -7.60    -2.100376699435384E+01     3.281388185410462E-05     1.512075872839687E-05
-5.90    -7.50    -2.100376699435384E+01     3.281387370274953E-05     1.487996812174596E-05
-5.90    -7.40    -2.100376699435384E+01     3.281386722789803E-05     1.468870134422674E-05
-5.90    -7.30    -2.100376699435384E+01     3.281386208474068E-05     1.453677274247850E-05
-5.90    -7.20    -2.100376699435384E+01     3.281385799938557E-05     1.441609156444769E-05
-5.90    -7.10    -2.100376699435384E+01     3.281385475427266E-05     1.432023109733803E-05
-5.90    -7.00    -2.100376699435384E+01     3.281385217658785E-05     1.424408642171898E-05
-5.90    -6.90    -2.100376699435384E+01     3.281385012906002E-05     1.418360255595084E-05
-5.90    -6.80    -2.100376699435384E+01     3.281384850265086E-05     1.413555851362593E-05
-5.90    -6.70    -2.100376699435384E+01     3.281384721074814E-05     1.409739577429697E-05
-5.90    -6.60    -2.100376699435384E+01     3.281384618455334E-05     1.406708203293355E-05
-5.90    -6.50    -2.100376699435384E+01     3.281384536941783E-05     1.404300297226846E-05
-5.90    -6.40    -2.100376699435384E+01     3.281384472193268E-05     1.402387629451654E-05
-5.90    -6.30    -2.100376699435384E+01     3.281384420761694E-05     1.400868343434171E-05
-5.90    -6.20    -2.100376699435384E+01     3.281384379908143E-05     1.399661531653863E-05
-5.90    -6.10    -2.100376699435384E+01     3.281384347457014E-05     1.398702926982767E-05
-5.90    -6.00    -2.100376699435384E+01     3.281384321680166E-05     1.397941480226576E-05
-5.90    -5.90    -2.100376699435384E+01     3.281384301204888E-05     1.397336641568894E-05
-5.90    -5.80    -2.100376699435384E+01     3.281384284940796E-05     1.396856201145646E-05
-5.90    -5.70    -2.100376699435384E+01     3.281384272021769E-05     1.396474573752356E-05
-5.90    -5.60    -2.100376699435384E+01     3.281384261759821E-05     1.396171436338722E-05
-5.90    -5.50    -2.100376699435384E+01     3.281384253608466E-05     1.395930645732071E-05
