logT	 logRho		logP		u	s
 -5.80   -12.10    -2.115793154375960E+01     2.944731146913811E-05     1.819793268707615E-02
 -5.80   -12.00    -2.115793154375960E+01     2.914901716781760E-05     1.445788017287004E-02
 -5.80   -11.90    -2.115793154375960E+01     2.891207358202137E-05     1.148705086148459E-02
 -5.80   -11.80    -2.115793154375960E+01     2.872386260178661E-05     9.127237258904627E-03
 -5.80   -11.70    -2.115793154375960E+01     2.857436130610101E-05     7.252770685688911E-03
 -5.80   -11.60    -2.115793154375960E+01     2.845560820581007E-05     5.763828961536825E-03
 -5.80   -11.50    -2.115793154375960E+01     2.836127926528793E-05     4.581120510183770E-03
 -5.80   -11.40    -2.115793154375960E+01     2.828635112447957E-05     3.641661793827008E-03
 -5.80   -11.30    -2.115793154375960E+01     2.822683358666009E-05     2.895423210067001E-03
 -5.80   -11.20    -2.115793154375960E+01     2.817955712590881E-05     2.302664833145758E-03
 -5.80   -11.10    -2.115793154375960E+01     2.814200409829623E-05     1.831820117987885E-03
