#density_[g_m3],pressure_[GPa],temperature_cold_podolak_[K],temperature_hot_nettel_[K],radius_[m]
2.0233,72.315,1862.1,3341.146814404432,1711600000.0
2.0301,73.042,1863.7,3350.4493793103447,1709100000.0
2.0369,73.771,1865.3,3359.8477303989,1706500000.0
2.0437,74.503,1866.9,3369.4234567901235,1704000000.0
2.0504,75.23700000000001,1868.5,3379.128142076503,1701400000.0
2.0572,75.974,1870.1,3388.941961852861,1698900000.0
2.0639,76.71000000000001,1871.6,3398.8074626865673,1696400000.0
2.0706,77.45100000000001,1873.2,3408.8827913279133,1693800000.0
2.0772,78.194,1874.8,3419.024291497976,1691300000.0
2.0839,78.94,1876.3,3429.297446236559,1688800000.0
2.0905,79.688,1877.9,3439.643624161074,1686200000.0
2.0971,80.438,1879.4,3450.051871657754,1683700000.0
2.1036,81.19,1881.0,3460.6232,1681100000.0
2.11,81.94500000000001,1882.5,3471.274734042553,1678600000.0
2.1165,82.699,1884.0,3481.9515915119364,1676100000.0
2.1229,83.458,1885.5,3492.7616908850723,1673500000.0
2.1293,84.22,1887.0,3503.691952506596,1671000000.0
2.1357,84.983,1888.5,3514.634034165572,1668400000.0
2.1421,85.74900000000001,1890.0,3525.5857142857144,1665900000.0
2.1484,86.516,1891.4,3536.5928104575164,1663400000.0
2.1547,87.286,1892.9,3547.6444589309,1660800000.0
2.161,88.058,1894.4,3558.6958387516256,1658300000.0
2.1673,88.83200000000001,1895.8,3569.736787564767,1655700000.0
2.1736,89.60900000000001,1897.3,3580.7978007761967,1653200000.0
2.1798,90.384,1898.7,3591.805806451613,1650700000.0
2.1861,91.164,1900.2,3602.773778920309,1648100000.0
2.1923,91.947,1901.6,3613.7234615384614,1645600000.0
2.1985,92.73100000000001,1903.0,3624.66914212548,1643100000.0
2.2046,93.518,1904.4,3635.4748724489796,1640500000.0
2.2108,94.303,1905.8,3646.252101910828,1638000000.0
2.2169,95.09400000000001,1907.2,3656.955837563452,1635400000.0
2.223,95.88600000000001,1908.6,3667.5250950570344,1632900000.0
2.2291,96.681,1910.0,3678.075,1630400000.0
2.2351,97.477,1911.4,3688.467213114754,1627800000.0
2.2412,98.27600000000001,1912.8,3698.8254088050317,1625300000.0
2.2472,99.07600000000001,1914.1,3709.0078947368424,1622700000.0
2.2532,99.878,1915.5,3719.1106918238993,1620200000.0
2.2592,100.68,1916.8,3728.995,1617700000.0
2.2652,101.49000000000001,1918.2,3738.7444444444445,1615100000.0
2.2712,102.3,1919.5,3748.46,1612600000.0
2.2771,103.11,1920.9,3757.927160493827,1610000000.0
2.283,103.92,1922.2,3767.3271604938273,1607500000.0
2.2889,104.73,1923.5,3776.49012345679,1605000000.0
2.2948,105.54,1924.8,3785.5901234567905,1602400000.0
2.3006,106.36,1926.1,3794.641975308642,1599900000.0
2.3065,107.18,1927.4,3803.5634146341467,1597400000.0
2.3123,108.0,1928.7,3812.3024390243904,1594800000.0
2.3181,108.82000000000001,1930.0,3820.8414634146343,1592300000.0
2.3238,109.65,1931.3,3829.44512195122,1589700000.0
2.3297,110.47,1932.6,3837.781707317073,1587200000.0
2.3356,111.3,1933.9,3846.0180722891564,1584700000.0
2.3415,112.13000000000001,1935.2,3854.217073170732,1582100000.0
2.3473,112.96000000000001,1936.4,3862.2506024096388,1579600000.0
2.3532,113.8,1937.7,3870.2626506024094,1577000000.0
2.359,114.63000000000001,1938.9,3878.0783132530123,1574500000.0
2.3648,115.47,1940.2,3885.7238095238095,1572000000.0
2.3706,116.31,1941.4,3893.401204819277,1569400000.0
2.3764,117.14,1942.7,3900.754761904762,1566900000.0
2.3821,117.99000000000001,1943.9,3908.157142857143,1564400000.0
2.3879,118.83,1945.1,3915.4571428571426,1561800000.0
2.3936,119.68,1946.3,3922.670238095238,1559300000.0
2.3993,120.52000000000001,1947.6,3929.6117647058823,1556700000.0
2.4051,121.37,1948.8,3936.6833333333334,1554200000.0
2.4107,122.22,1950.0,3943.52,1551700000.0
2.4164,123.07000000000001,1951.2,3950.2329411764704,1549100000.0
2.4221,123.93,1952.4,3957.0117647058823,1546600000.0
2.4277,124.78,1953.5,3963.5352941176475,1544000000.0
2.4333,125.64,1954.7,3970.1117647058827,1541500000.0
2.4389,126.5,1955.9,3976.6197674418604,1539000000.0
2.4445,127.36,1957.1,3982.9406976744185,1536400000.0
2.45,128.22,1958.3,3989.3070588235296,1533900000.0
2.4556,129.09,1959.4,3995.5953488372093,1531300000.0
2.4611,129.95000000000002,1960.6,4001.7298850574716,1528800000.0
2.4666,130.81,1961.7,4007.832558139535,1526300000.0
2.4721,131.68,1962.9,4014.003488372093,1523700000.0
2.4776,132.55,1964.0,4020.1091954022986,1521200000.0
2.4831,133.42000000000002,1965.2,4026.11724137931,1518700000.0
2.4886,134.3,1966.3,4032.093103448276,1516100000.0
