density_[g_m3],pressure_[GPa],temperature_cold_podolak_[K],temperature_hot_podolak_[K],radius_[m]
1.9893,87.908,2114.5,3919.1,1637500000.0
1.998,88.63300000000001,2116.1,3920.7,1635000000.0
2.0067,89.361,2117.6,3922.2,1632500000.0
2.0155,90.092,2119.2,3923.7,1629900000.0
2.0242,90.82600000000001,2120.8,3925.2,1627400000.0
2.0329,91.56400000000001,2122.3,3926.7,1624800000.0
2.0416,92.305,2123.8,3928.2,1622300000.0
2.0504,93.049,2125.4,3929.7,1619800000.0
2.0591,93.797,2126.9,3931.2,1617200000.0
2.0678,94.547,2128.4,3932.7,1614700000.0
2.0765,95.301,2129.9,3934.1,1612200000.0
2.0852,96.059,2131.4,3935.6,1609600000.0
2.0939,96.819,2132.8,3937.0,1607100000.0
2.1026,97.583,2134.3,3938.5,1604500000.0
2.1113,98.35000000000001,2135.8,3939.9,1602000000.0
2.12,99.12,2137.2,3941.3,1599500000.0
2.1287,99.893,2138.6,3942.7,1596900000.0
2.1374,100.67,2140.1,3944.1,1594400000.0
2.1461,101.45,2141.5,3945.5,1591800000.0
2.1548,102.23,2142.9,3946.9,1589300000.0
2.1635,103.02000000000001,2144.3,3948.3,1586800000.0
2.1722,103.81,2145.7,3949.6,1584200000.0
2.1809,104.60000000000001,2147.1,3951.0,1581700000.0
2.1895,105.4,2148.5,3952.3,1579100000.0
2.1982,106.19,2149.8,3953.7,1576600000.0
2.2069,107.0,2151.2,3955.0,1574100000.0
2.2155,107.8,2152.6,3956.3,1571500000.0
2.2242,108.61,2153.9,3957.6,1569000000.0
2.2329,109.42,2155.2,3958.9,1566500000.0
2.2415,110.23,2156.6,3960.2,1563900000.0
2.2501,111.05,2157.9,3961.5,1561400000.0
2.2588,111.87,2159.2,3962.8,1558800000.0
2.2674,112.7,2160.5,3964.1,1556300000.0
2.276,113.52000000000001,2161.8,3965.3,1553800000.0
2.2847,114.35000000000001,2163.1,3966.6,1551200000.0
2.2933,115.18,2164.4,3967.9,1548700000.0
2.3019,116.02000000000001,2165.6,3969.1,1546100000.0
2.3105,116.86,2166.9,3970.3,1543600000.0
2.3191,117.7,2168.2,3971.6,1541100000.0
2.3277,118.54,2169.4,3972.8,1538500000.0
2.3363,119.39,2170.7,3974.0,1536000000.0
